model,E,regime,N_star,N,ais_lag1,ais_lag2,ais_lag3,h_target,normalized,adequacy
pairwise,1.92,plateau,4.641867676308346,17,nan,nan,nan,nan,nan,27200.0
pairwise,1.92,plateau,4.641867676308346,18,nan,nan,nan,nan,nan,28800.0
pairwise,1.92,plateau,4.641867676308346,19,nan,nan,nan,nan,nan,30400.0
pairwise,1.92,plateau,4.641867676308346,20,nan,nan,nan,nan,nan,32000.0
pairwise,1.92,plateau,4.641867676308346,21,nan,nan,nan,nan,nan,33600.0
pairwise,1.92,plateau,4.641867676308346,22,nan,nan,nan,nan,nan,35200.0
pairwise,1.92,plateau,4.641867676308346,23,nan,nan,nan,nan,nan,36800.0
pairwise,1.92,plateau,4.641867676308346,24,nan,nan,nan,nan,nan,38400.0
pairwise,28.15,plateau,4.731813188500023,2,0.8873069690232581,0.897197294236047,0.8899605463222242,1.9958096206804794,0.4445849743527778,228.57142857142858
pairwise,28.15,plateau,4.731813188500023,3,0.9406844992219194,0.9465086335812867,0.9478741098101543,1.6359142163591034,0.5750206763992248,342.85714285714283
pairwise,28.15,plateau,4.731813188500023,4,1.0016078162346953,1.0118369668175424,1.0123092968869336,1.5570341887336252,0.6432792699621631,457.14285714285717
pairwise,28.15,plateau,4.731813188500023,5,0.899069137621462,0.9028066704716767,0.9057715845953028,1.391096820473725,0.6463023453071314,571.4285714285714
pairwise,28.15,plateau,4.731813188500023,6,0.5189878850457714,0.5290147778112161,0.5319209803161532,0.9349405010415714,0.5551025808247609,685.7142857142857
pairwise,28.15,plateau,4.731813188500023,7,0.38523089465600174,0.38964059662355177,0.39283482047603807,0.7219142718604816,0.5336241568728151,800.0
pairwise,28.15,plateau,4.731813188500023,8,0.2809304548726638,0.2836355926436606,0.2841595421748186,0.5114846955567204,0.5492450845804642,1066.6666666666667
pairwise,28.15,plateau,4.731813188500023,9,0.1319914894660108,0.1331424191957857,0.13381933734083204,0.262257712347096,0.5032892580536245,1107.6923076923076
pairwise,28.15,plateau,4.731813188500023,10,nan,0.05653168909767501,0.05703626086080317,nan,nan,2285.714285714286
pairwise,28.15,plateau,4.731813188500023,11,nan,nan,0.0026850927057194035,nan,nan,4400.0
pairwise,28.15,plateau,4.731813188500023,12,nan,nan,nan,nan,nan,19200.0
pairwise,28.15,plateau,4.731813188500023,13,nan,nan,nan,nan,nan,20800.0
pairwise,28.15,plateau,4.731813188500023,14,nan,nan,nan,nan,nan,22400.0
pairwise,28.15,plateau,4.731813188500023,15,nan,nan,nan,nan,nan,24000.0
pairwise,28.15,plateau,4.731813188500023,16,nan,nan,nan,nan,nan,25600.0
pairwise,28.15,plateau,4.731813188500023,17,nan,nan,nan,nan,nan,27200.0
pairwise,28.15,plateau,4.731813188500023,18,nan,nan,nan,nan,nan,28800.0
pairwise,28.15,plateau,4.731813188500023,19,nan,nan,nan,nan,nan,30400.0
pairwise,28.15,plateau,4.731813188500023,20,nan,nan,nan,nan,nan,32000.0
pairwise,28.15,plateau,4.731813188500023,21,nan,nan,nan,nan,nan,33600.0
pairwise,28.15,plateau,4.731813188500023,22,nan,nan,nan,nan,nan,35200.0
pairwise,28.15,plateau,4.731813188500023,23,nan,nan,nan,nan,nan,36800.0
pairwise,28.15,plateau,4.731813188500023,24,nan,nan,nan,nan,nan,38400.0
pairwise,2472,rise,9.437419786698186,2,0.37711325887785824,0.38376782310254864,0.38646107852334693,0.7930198544297686,0.4755407531997121,266.6666666666667
pairwise,2472,rise,9.437419786698186,3,0.16373992969893902,0.16592665991383118,0.16793451695408543,0.3456515525539814,0.4737138557286454,533.3333333333334
pairwise,2472,rise,9.437419786698186,4,0.12608946700443485,0.12717179238894857,0.1282827052896129,0.2776026238193409,0.4542084843063001,800.0
pairwise,2472,rise,9.437419786698186,5,0.09334283853160774,0.0965690328772205,0.09815828163189205,0.21281756690187953,0.43860495113471465,800.0
pairwise,2472,rise,9.437419786698186,6,0.10443501158217447,0.1062283869306455,0.10669248288801537,0.2096372773865466,0.49817004343940474,800.0
pairwise,2472,rise,9.437419786698186,7,0.15511360436245414,0.15601795750521952,0.1562527256132677,0.30676965004558077,0.5056354314692046,1120.0
pairwise,2472,rise,9.437419786698186,8,0.17172291255578512,0.17655431853213147,0.17803739534282972,0.3599178280527008,0.4771169949676421,1066.6666666666667
pairwise,2472,rise,9.437419786698186,9,0.7967579178482261,0.8053589304068283,0.8070588434516196,1.1914618455021464,0.6687229816515269,1028.5714285714287
pairwise,2472,rise,9.437419786698186,10,0.1831257742387617,0.18678458003128715,0.18739148943683953,0.35423912549927034,0.5169552459250831,1333.3333333333333
pairwise,2472,rise,9.437419786698186,11,nan,0.02866255091715779,0.029137919479339403,nan,nan,2933.3333333333335
pairwise,2472,rise,9.437419786698186,12,nan,nan,0.0026989275636900207,nan,nan,4800.0
pairwise,2472,rise,9.437419786698186,13,nan,nan,nan,nan,nan,20800.0
pairwise,2472,rise,9.437419786698186,14,nan,nan,nan,nan,nan,22400.0
